Title,Director,Country,Year,Decade,Duration,Description,Total Hours,Url,titleYear_x,newTitleYear,tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,titleYear_y,isDuplicated
A Story of Floating Weeds,Yasujiro Ozu,Japan,1934,1930s,1:26,"In 1959, Yasujiro Ozu remade his 1934 silent classic A STORY OF FLOATING WEEDS in color with the celebrated cinematographer Kazuo Miyagawa (RASHOMON, UGETSU). Setting his later version in a seaside location, Ozu otherwise preserves the details of his elegantly simple plot wherein an aging actor returns to a small town with his troupe and reunites with his former lover and illegitimate son, a scenario that enrages his current mistress and results in heartbreak for all. Together, the films offer a unique glimpse into the evolution of one of cinema’s greatest directors. A STORY OF FLOATING WEEDS reveals Ozu in the midst of developing his mode of expression; FLOATING WEEDS reveals his distinct style at its pinnacle. In each, the director captures the joy and sadness in everyday life.",1.43,https://www.criterionchannel.com/a-story-of-floating-weeds,A Story of Floating Weeds 1934,A Story of Floating Weeds 1934,tt0025929,7.8,2868,A Story of Floating Weeds,Ukikusa monogatari,1934,A Story of Floating Weeds 1934,False
The Story of the Last Chrysanthemum,Kenji Mizoguchi,Japan,1939,1930s,2:23,"This heartrending masterpiece by Kenji Mizoguchi about the give-and-take between life and art marked the first full realization of the hypnotic long takes and eloquent camera movements that would come to define the director’s films. Kikunosuke (Shotaro Hanayagi), the adopted son of a legendary kabuki actor who is striving to achieve stardom by mastering female roles, turns to his infant brother’s wet nurse for support and affection—and she soon gives up everything for her beloved’s creative glory. Offering a fascinating glimpse behind the scenes of kabuki theater in the late nineteenth century, THE STORY OF THE LAST CHRYSANTHEMUM provides a critique of the oppression of women and the sacrifices required of them, and represents the pinnacle of Mizoguchi’s early career.",2.38,https://www.criterionchannel.com/the-story-of-the-last-chrysanthemum,The Story of the Last Chrysanthemum 1939,The Story of the Last Chrysanthemum 1939,tt0032156,7.9,3304,The Story of the Last Chrysanthemum,Zangiku monogatari,1939,The Story of the Last Chrysanthemum 1939,False
Story of Women,Claude Chabrol,France,1988,1980s,1:48,"One of the ugliest (and least discussed) sides of wartime France is showcased in Claude Chabrol's Story of Women. Isabelle Huppert stars as an impoverished mother who achieves success and a better life for herself and her children by performing clandestine abortions in 1941 France, only to run afoul of the Petain government's brutal ban against abortion, which it regarded as a ""crime against the state.""",1.8,https://www.criterionchannel.com/story-of-women,Story of Women 1988,Story of Women 1988,tt0096336,7.5,3980,Story of Women,Une affaire de femmes,1988,Story of Women 1988,False
La strada,Federico Fellini,Italy,1954,1950s,1:49,"There has never been a face quite like that of Giulietta Masina. Her husband, the legendary Federico Fellini, directs her as Gelsomina in LA STRADA, the film that launched them both to international stardom. Gelsomina is sold by her mother into the employ of Zampanò (Anthony Quinn), a brutal strongman in a traveling circus. When Zampanò encounters an old rival in highwire artist the Fool (Richard Basehart), his fury is provoked to its breaking point. With LA STRADA, Fellini left behind the familiar signposts of Italian neorealism for a poetic fable of love and cruelty, evoking brilliant performances and winning the hearts of audiences and critics worldwide. The Criterion Collection is proud to present LA STRADA, winner of the Academy Award for Best Foreign Film in 1956.",1.82,https://www.criterionchannel.com/la-strada,La strada 1954,La Strada 1954,tt0047528,8.0,58787,La Strada,La strada,1954,La Strada 1954,False
The Stranger,Satyajit Ray,India,1991,1990s,2:00,"Satyajit Ray's valedictory film is a multifaceted character study that contains both humor and melancholy rumination. Based on the filmmaker's own story,The Stranger involves a bourgeois couple who are taken off guard when a man claiming to be the wife's long-lost uncle sends word that he will be coming to stay with them after years of travel. Though they fear he's an impostor, they tentatively let the man into their home, commencing an eye-opening emotional journey for the family. A humanist exploration of class, faith, and tradition versus progress, The Stranger is a bittersweet good-bye from one of the world's most important filmmakers.",2.0,https://www.criterionchannel.com/the-stranger,The Stranger 1991,The Stranger 1991,tt0101279,8.1,3249,The Stranger,Agantuk,1991,The Stranger 1991,False
Stranger by the Lake,Alain Guiraudie,France,2013,2010s,1:40,"The critically acclaimed STRANGER BY THE LAKE has been described as a modern-day Hitchcockican masterpiece. A picturesque cruising spot in the countryside of France sets the scene for this drama of desire and murder. Franck, a regular at the lake, meets the handsome Michel and soon falls in love with the mysterious stranger. When a body is discovered in the lake, Franck and Michel soon become primary suspects of the investigation. STRANGER BY THE LAKE is a unique, erotic thriller of seduction and sexual obsession that builds to an unforgettable and terrifying climax.",1.67,https://www.criterionchannel.com/stranger-by-the-lake,Stranger by the Lake 2013,Stranger by the Lake 2013,tt2852458,6.9,13378,Stranger by the Lake,L'inconnu du lac,2013,Stranger by the Lake 2013,False
Stranger Than Paradise,Jim Jarmusch,United States,1984,1980s,1:29,"With this breakout film, Jim Jarmusch established himself as one of the most exciting voices in the burgeoning independent-film scene, a road-movie poet with an affinity for Americana at its most offbeat. Jarmusch follows rootless Hungarian émigré Willie (John Lurie), his pal Eddie (Richard Edson), and his visiting sixteen-year-old cousin, Eva (Eszter Balint), as they drift from New York’s Lower East Side to the snowy expanses of Lake Erie and the drab beaches of Florida, always managing to make the least of wherever they end up. Structured as a series of master-shot vignettes etched in black and white by cinematographer Tom DiCillo, STRANGER THAN PARADISE is a nonchalant masterpiece of deadpan comedy and perfectly calibrated minimalism.",1.48,https://www.criterionchannel.com/stranger-than-paradise,Stranger Than Paradise 1984,Stranger Than Paradise 1984,tt0088184,7.5,34912,Stranger Than Paradise,Stranger than Paradise,1984,Stranger Than Paradise 1984,False
Stray Dog,Akira Kurosawa,Japan,1949,1940s,2:02,"A bad day gets worse for young detective Murakami when a pickpocket steals his gun on a hot, crowded bus. Desperate to right the wrong, he goes undercover, scavenging Tokyo’s sweltering streets for the stray dog whose desperation has led him to a life of crime. With each step, cop and criminal’s lives become more intertwined and the investigation becomes an examination of Murakami’s own dark side. Starring Toshiro Mifune, as the rookie cop, and Takashi Shimura, as the seasoned detective who keeps him on the right side of the law, STRAY DOG (NORA INU) goes beyond a crime thriller, probing the squalid world of postwar Japan and the nature of the criminal mind.",2.03,https://www.criterionchannel.com/stray-dog,Stray Dog 1949,Stray Dog 1949,tt0041699,7.9,15515,Stray Dog,Nora inu,1949,Stray Dog 1949,False
Street of Shame,Kenji Mizoguchi,Japan,1956,1950s,1:25,"For his final film, Mizoguchi brought a lifetime of experience to bear on the heartbreaking tale of a brothel full of women whose dreams are constantly being shattered by the socioeconomic realities surrounding them. Set in Tokyo's Red Light District (the literal translation of the Japanese title), Street of Shame was so cutting, and its popularity so great, that when an antiprostitution law was passed in Japan just a few months after the film's release, some said it was a catalyst.",1.42,https://www.criterionchannel.com/street-of-shame,Street of Shame 1956,Street of Shame 1956,tt0048933,7.9,3878,Street of Shame,Akasen chitai,1956,Street of Shame 1956,False
Streetwise,Martin Bell,United States,1984,1980s,1:31,"Seattle, 1983. Taking their camera to the streets of what was supposedly America’s most livable city, filmmaker Martin Bell, photographer Mary Ellen Mark, and journalist Cheryl McCall set out to tell the stories of those society had left behind: homeless and runaway teenagers living on the city’s margins. Born from a “Life” magazine exposé by Mark and McCall, “Streetwise” follows an unforgettable group of at-risk children—including iron-willed fourteen-year-old Tiny, who would become the project’s most haunting and enduring face, along with the pugnacious yet resourceful Rat and the affable drifter DeWayne—who, driven from their broken homes, survive by hustling, panhandling, and dumpster diving. Granted remarkable access to their world, the filmmakers craft a devastatingly frank, nonjudgmental portrait of lost youth growing up far too soon in a world that has failed them.",1.52,https://www.criterionchannel.com/streetwise,Streetwise 1984,Streetwise 1984,tt0088196,8.2,1842,Streetwise,Streetwise,1984,Streetwise 1984,False
Street Without End,Mikio Naruse,Japan,1934,1930s,1:28,"Mikio Naruse's final silent film is a gloriously rich portrait of a waitress, Sugiko, whose life, despite a host of male admirers and even some intrigued movie talent scouts, ends up taking a suffocatingly domestic turn after a wealthy businessman accidentally hits her with his car. Featuring vividly drawn characters and bold political commentary, STREET WITHOUT END is the grandly entertaining silent melodrama with which Naruse arrived at the brink of the sound era.",1.47,https://www.criterionchannel.com/street-without-end,Street Without End 1934,Street Without End 1934,tt0025338,7.0,312,Street Without End,Kagirinaki hodô,1934,Street Without End 1934,False
Strike,Sergei Eisenstein,Soviet Union,1925,1920s,1:21,"Sergei Eisenstein's feature film debut, 'Strike' details the violent uprising in 1903 by factory workers in pre-Revolutionary Russia. Known widely as one of the founding films of soviet realism and the montage techniques Eisenstein would become famous for in his subsequent film, 'Battleship Potemkin'.",1.35,https://www.criterionchannel.com/strike,Strike 1925,Strike 1925,tt0015361,7.6,7203,Strike,Stachka,1925,Strike 1925,False
Stromboli,Roberto Rossellini,Italy,1950,1950s,1:46,"The first collaboration between Roberto Rossellini and Ingrid Bergman is a devastating portrait of a woman’s existential crisis, set against the beautiful and forbidding backdrop of a volcanic island. After World War II, a Lithuanian refugee (Bergman) marries a simple Italian fisherman (Mario Vitale) she meets in a prisoner of war camp and accompanies him back to his isolated village on an island off the coast of Sicily. Cut off from the world, she finds herself crumbling emotionally, but she is destined for a dramatic epiphany. Balancing the director’s trademark neorealism—exemplified here in a remarkable depiction of the fishermen’s lives and work—with deeply felt melodrama, STROMBOLI is a revelation.",1.77,https://www.criterionchannel.com/stromboli,Stromboli 1950,Stromboli 1950,tt0041931,7.3,6052,Stromboli,Stromboli (Terra di Dio),1950,Stromboli 1950,False
The Student Nurses,Stephanie Rothman,United States,1970,1970s,1:21,"Stephanie Rothman initiated New World Pictures’ popular “nurses” cycle with this intriguing, fiercely feminist look at the myriad social issues shaping the 1970s cultural conversation. Centered on the turbulent professional and personal lives of four young women living together while training to become medical professionals, THE STUDENT NURSES delivers the softcore titillation demanded by its producers while touching on a host of hot-button topics—abortion, the women’s movement, immigrant rights, LSD, the Vietnam War—with an unapologetically progressive point of view.",1.35,https://www.criterionchannel.com/the-student-nurses,The Student Nurses 1970,The Student Nurses 1970,tt0066418,5.4,370,The Student Nurses,The Student Nurses,1970,The Student Nurses 1970,False
Suburbia,Penelope Spheeris,United States,1983,1980s,1:35,"Aften plunging into the Los Angeles rock scene with her landmark documentary THE DECLINE OF WESTERN CIVILIZATION, Penelope Spheeris made this dramatic feature animated by the same punk spirit. Evan and his younger brother leave their broken home in an attempt to escape their alcoholic mother. They find family in a group of punks who live as squatters in an abandoned shack by the side of the highway.",1.58,https://www.criterionchannel.com/suburbia,Suburbia 1983,Suburbia 1983,tt0086589,7.0,4705,Suburbia,Suburbia,1983,Suburbia 1983,False
Sudden Fear,David Miller,United States,1952,1950s,1:51,"Joan Crawford makes the tension palpable in this precision-crafted thriller. She stars as wealthy, successful playwright Myra Hudson, who gets a shock when she discovers that not only has her actor husband (Jack Palance) married her for her money, he’s also planning on murdering her with the help of his lover (bad-girl icon Gloria Grahame). Cue a nerve-twisting series of events as Myra sets out to turn the tables on her would-be killers. Oscar-nominated for best actress (Crawford), supporting actor (Palance), and cinematography, this rediscovered noir gem is a master class in perfectly calibrated suspense.",1.85,https://www.criterionchannel.com/sudden-fear,Sudden Fear 1952,Sudden Fear 1952,tt0045205,7.5,5367,Sudden Fear,Sudden Fear,1952,Sudden Fear 1952,False
The Suitor,Pierre Etaix,France,1962,1960s,1:24,"Pierre Etaix’s first feature introduces the droll humor and oddball charm of its unique writer-director-star. As a tribute to Buster Keaton, Etaix fashioned this lovable story of a privileged yet sheltered young man (played by Etaix himself, in a nearly silent performance) who, under pressure from his parents, sets out to find a young woman to marry—though he has a hard time tearing his mind away from the famous singer whose face decorates the walls of his bedroom.",1.4,https://www.criterionchannel.com/the-suitor,The Suitor 1962,The Suitor 1962,tt0056514,7.3,785,The Suitor,Le soupirant,1962,The Suitor 1962,False
Sujata,Bimal Roy,India,1959,1950s,2:32,"A story by Bengali writer Subodh Ghosh provides the basis for this pointed look at the impact of caste in Indian society, a blend of romance and socially conscious drama. After she is orphaned, Sujata (the luminous Nutan), an “untouchable” lower-caste girl, is taken in and raised by a well-off Brahmin family. When Adhir (Sunil Dutt), a young upper-caste man, falls in love with her, their star-crossed love is threatened by the prejudices of his family.",2.53,https://www.criterionchannel.com/sujata,Sujata 1959,Sujata 1980,tt0244238,8.1,33,Sujata,Sujata,1980,Sujata 1980,False
Summer Hours,Olivier Assayas,France,2008,2000s,1:43,"Universally acclaimed by critics, the multiple award-winning SUMMER HOURS is the great contemporary French filmmaker Olivier Assayas’s most personal film to date. Three siblings, played by Juliette Binoche, Charles Berling, and Jérémie Rénier, must decide what to do with the country estate and objects they’ve inherited from their mother. From this simple story, Assayas creates an exquisitely nuanced drama about the material of globalized modern living. Naturalistic and unsentimental, SUMMER HOURS is that rare film that pays respect to family by treating it with honesty.",1.72,https://www.criterionchannel.com/summer-hours,Summer Hours 2008,Summer Hours 2008,tt0836700,7.2,7216,Summer Hours,L'heure d'été,2008,Summer Hours 2008,False
Summer Interlude,Ingmar Bergman,Sweden,1951,1950s,1:36,"Touching on many of the themes that would define the rest of his career—isolation, performance, the inescapability of the past— Ingmar Bergman’s tenth film was a gentle drift toward true mastery. Maj-Britt Nilsson beguiles as an accomplished ballet dancer haunted by her tragic youthful affair with a shy, handsome student (Birger Malmsten). Her memories of the sunny, rocky shores of Stockholm’s outer archipelago mingle with scenes from her gloomy present at the theater where she performs. A film that the director considered a creative turning point, SUMMER INTERLUDE is a reverie about life and death that unites Bergman’s love of theater and cinema.",1.6,https://www.criterionchannel.com/summer-interlude,Summer Interlude 1951,Summer Interlude 1951,tt0044060,7.6,5346,Summer Interlude,Sommarlek,1951,Summer Interlude 1951,False
Summertime,David Lean,United States,1955,1950s,1:39,An American spinster’s dream of romance finally becomes a bittersweet reality when she meets a handsome—but married—Italian man while vacationing in Venice. Katharine Hepburn’s sensitive portrayal of the lonely heroine and Jack Hildyard’s glorious Technicolor photography make SUMMERTIME an endearing and visually enchanting film.,1.65,https://www.criterionchannel.com/summertime,Summertime 1955,Summertime 1955,tt0048673,7.1,7707,Summertime,Summertime,1955,Summertime 1955,False
Summer with Monika,Ingmar Bergman,Sweden,1953,1950s,1:37,"Inspired by the earthy eroticism of Harriet Andersson, in the first of her many roles for him, Ingmar Bergman had a major international breakthrough with this sensual and ultimately ravaging tale of young love. A girl (Andersson) and boy (Lars Ekborg) from working-class families in Stockholm run away from home to spend a secluded, romantic summer at the beach, far from parents and responsibilities. Inevitably, it is not long before the pair are forced to return to reality. The version initially released in the U.S. was reedited by its distributor into something more salacious, but the original SUMMER WITH MONIKA (SOMMAREN MED MONIKA), presented here, is a work of stunning maturity and one of Bergman’s most important films.",1.62,https://www.criterionchannel.com/summer-with-monika,Summer with Monika 1953,Summer with Monika 1953,tt0046345,7.5,12985,Summer with Monika,Sommaren med Monika,1953,Summer with Monika 1953,False
A Sunday in the Country,Bertrand Tavernier,France,1984,1980s,1:34,"Bertrand Tavernier paints a bittersweet family portrait with a delicacy worthy of Ozu. On a Sunday in 1912, Monsieur Ladmiral (Louis Ducreux), a painter in the twilight of his life, gets together with his straitlaced son (Michel Aumont) and the young man’s family, as he does nearly every week. On this particular day, however, they are joined by Ladmiral’s daughter (Sabine Azéma), a free-spirited woman whose boisterous energy conceals a hidden complexity. As the day wears on, the small disappointments and regrets that shape the lives of Ladmiral and his children are gradually revealed.",1.57,https://www.criterionchannel.com/a-sunday-in-the-country,A Sunday in the Country 1984,A Sunday in the Country 1984,tt0088318,7.6,2354,A Sunday in the Country,Un dimanche à la campagne,1984,A Sunday in the Country 1984,False
The Sun's Burial,Nagisa Oshima,Japan,1960,1960s,1:28,Young gangsters commit crimes and double crosses to fulfill their shady ambitions in the streets of Osaka.,1.47,https://www.criterionchannel.com/the-sun-s-burial,The Sun's Burial 1960,The Sun's Burial 1960,tt0054366,7.1,767,The Sun's Burial,Taiyô no hakaba,1960,The Sun's Burial 1960,False
Sunset Song,Terence Davies,United Kingdom,2015,2010s,2:16,"SUNSET SONG is an intimate epic of hope, tragedy, and love at the dawning of World War I. Acclaimed British auteur Terence Davies brings gritty poetic realism to the novel by Lewis Grassic Gibbon, the story of a young woman’s endurance amid the hardships of rural Scottish life. As Chris Guthrie (Agyness Deyn) comes of age in the early years of the twentieth century under the thumb of her tyrannical father (Peter Mullan), her life is shaped by the struggle between tradition and change.",2.27,https://www.criterionchannel.com/sunset-song,Sunset Song 2015,Sunset Song 2015,tt2262161,6.4,3386,Sunset Song,Sunset Song,2015,Sunset Song 2015,False
Supa Modo,Likarion Wainaina,Germany,2018,2010s,1:14,"Obsessed with Jackie Chan and action films, nine-year-old Jo (Stycie Waweru) dreams of being a superhero—but time is not on her side. When the doctors reveal that she is terminally ill, Jo leaves the hospital and returns home to be with her mom and sister. While her mother insists that she stay inside and rest, her sister has different plans. With the entire village’s support, they decide to make dreams a reality and turn Jo into the superhero they know she is. The debut feature from Kenyan filmmaker Likarion Wainaina is an honest and inspiring story about the strength of young people in the face of adversity.",1.23,https://www.criterionchannel.com/supa-modo,Supa Modo 2018,Supa Modo 2018,tt7772412,7.3,362,Supa Modo,Supa Modo,2018,Supa Modo 2018,False
Supermarket Woman,Juzo Itami,Japan,1996,1990s,2:07,"In this vibrant comedy, a failing supermarket manager hires an energetic woman to help him compete with a rival business. Directed by Juzo Itami.",2.12,https://www.criterionchannel.com/supermarket-woman,Supermarket Woman 1996,Supermarket Woman 1996,tt0127310,7.2,469,Supermarket Woman,Sûpâ no onna,1996,Supermarket Woman 1996,False
El Sur,Víctor Erice,Spain,1983,1980s,1:34,"Ten years after making his mark on Spanish cinema with THE SPIRIT OF THE BEEHIVE, Víctor Erice returned to filmmaking with this adaptation of a novella by Adelaida García Morales, which deepens the director’s fascination with childhood, fantasy, and the legacy of his country’s civil war. In the North of Spain, Estrella grows up captivated by her father, a doctor with mystical powers—and by the enigma of his youth in the South, a near-mythical region whose secrets haunt Estrella more and more as time goes on. Though Erice’s original vision also encompassed a section set in the South itself, scenes that were never shot, EL SUR remains an experience of rare perfection and satisfaction, drawing on painterly cinematography by José Luis Alcaine to evoke the enchantments of memory and the inaccessible, inescapable mysteries of the past.",1.57,https://www.criterionchannel.com/el-sur,El Sur 1983,El Sur 1983,tt0084740,7.9,4634,El Sur,El sur,1983,El Sur 1983,False
Swallows and Amazons,Claude Whatham,United Kingdom,1974,1970s,1:33,"Arthur Ransome’s classic children’s novel was beautifully adapted for the big screen with this enchanting adventure bursting with wit, wonder, and early-twentieth-century period detail. While on summer holiday with their mother in North West England’s Lake District, four siblings set sail for a nearby island that they soon discover is the territory of two other young girls. As rivalry turns to friendship, the kids—who declare themselves the Swallows and Amazons, respectively—embark on a series of moonlit expeditions, boat voyages, and adult-besting competitions over the course of what proves to be a most unforgettable summer idyll.",1.55,https://www.criterionchannel.com/swallows-and-amazons,Swallows and Amazons 1974,Swallows and Amazons 1974,tt0072233,6.5,928,Swallows and Amazons,Swallows and Amazons,1974,Swallows and Amazons 1974,False
Swann in Love,Volker Schlöndorff,Germany,1984,1980s,1:51,"Volker Schlöndorff’s sumptuous adaptation of the first volume of Marcel Proust’s “In Search of Lost Time” stars Jeremy Irons as the appropriately named Charles Swann, a beautiful bachelor, majestic in manner, but prone to foul displays of emotion. He swims in the best circles of 1890s Paris, until a destructive love for a seductive courtesan named Odette (Ornella Muti) leads him astray. ",1.85,https://www.criterionchannel.com/swann-in-love,Swann in Love 1984,Swann in Love 1984,tt0088315,6.6,1756,Swann in Love,Un amour de Swann,1984,Swann in Love 1984,False
Swedenhielms,Gustaf Molander,Sweden,1935,1930s,1:31,"The Swedenhielm family looks like a million bucks, but all that glitters is not gold. The illusion of wealth disguises financial ruin. Nearing bankruptcy, they hope a Nobel Prize will return the patriarch to prominence.",1.52,https://www.criterionchannel.com/swedenhielms,Swedenhielms 1935,Swedenhielms 1935,tt0027062,5.6,241,Swedenhielms,Swedenhielms,1935,Swedenhielms 1935,False
The Sweet Hereafter,Atom Egoyan,Canada,1997,1990s,1:52,"Winner of the Grand Prix at Cannes, Atom Egoyan’s masterful adaptation of a novel by Russell Banks traces the aftermath of a school bus accident in a small Canadian town that leaves fourteen children dead. When Mitchell Stephens (Ian Holm), a big-city lawyer, arrives to organize a class-action lawsuit, his presence stirs up tensions within the town. Garnering Academy Award nominations for Egoyan for both best director and adapted screenplay, THE SWEET HEREAFTER is a powerful, deeply empathetic exploration of what it means to go on living in the face of tragedy.",1.87,https://www.criterionchannel.com/the-sweet-hereafter,The Sweet Hereafter 1997,The Sweet Hereafter 1997,tt0120255,7.5,32182,The Sweet Hereafter,The Sweet Hereafter,1997,The Sweet Hereafter 1997,False
Sweetie,Jane Campion,New Zealand,1989,1980s,1:39,"Though she went on to create a string of brilliant films, Jane Campion will always be remembered for her stunning debut feature SWEETIE, which focuses on the hazardous relationship between the buttoned-down, superstitious Kay and her rampaging, devil-may-care sister, Sweetie, and on their family’s profoundly rotten roots. A feast of colorful photography and captivating, idiosyncratic characters, the tough and tender SWEETIE heralded the emergence of this gifted director, as well as a renaissance of Australian cinema, which would take the film world by storm in the nineties.",1.65,https://www.criterionchannel.com/sweetie,Sweetie 1989,Sweetie 1989,tt0098725,6.8,3379,Sweetie,Sweetie,1989,Sweetie 1989,False
The Sword of Doom,Kihachi Okamoto,Japan,1966,1960s,2:00,"Tatsuya Nakadai and Toshiro Mifune star in the story of a wandering samurai who exists in a maelstrom of violence. A gifted swordsman plying his craft during the turbulent final days of shogunate rule in Japan, Ryunosuke (Nakadai) kills without remorse or mercy. It is a way of life that ultimately leads to madness. Kihachi Okamoto’s swordplay classic is the thrilling tale of a man who chooses to devote his life to evil.",2.0,https://www.criterionchannel.com/the-sword-of-doom,The Sword of Doom 1966,The Sword of Doom 1966,tt0060277,8.0,9813,The Sword of Doom,Dai-bosatsu tôge,1966,The Sword of Doom 1966,False
Sword of the Beast,Hideo Gosha,Japan,1965,1960s,1:25,"Legendary swordplay filmmaker Hideo Gosha’s SWORD OF THE BEAST chronicles the flight of the low-level swordsman Gennosuke, who kills one of his ministers as part of a reform plot. His former comrades then turn on him, and this betrayal so shakes his sense of honor that he decides to live in the wild, like an animal. There he joins up with a motley group who are illegally mining the shogun’s gold, and, with the aid of another swordsman, gets a chance not just at survival but to recover his name and honor.",1.42,https://www.criterionchannel.com/sword-of-the-beast,Sword of the Beast 1965,Sword of the Beast 1965,tt0200768,7.6,2487,Sword of the Beast,Kedamono no ken,1965,Sword of the Beast 1965,False
Sydney 2000: Stories of Olympic Glory,Bud Greenspan,Australia,2001,2000s,1:56,"Bud Greenspan's film on the Games of the XXVII Olympiad in Sydney profiles Cathy Freeman, who surged to glory before her home crowd in the 400 meters, as well as Leontien van Moorsel, the Dutch cyclist who had suffered from anorexia and won the gold medal in both the women's cycling individual road race and individual time trial.",1.93,https://www.criterionchannel.com/sydney-2000-stories-of-olympic-glory,Sydney 2000: Stories of Olympic Glory 2001,Sydney 2000: Stories of Olympic Glory 2001,tt0811097,6.8,41,Sydney 2000: Stories of Olympic Glory,Sydney 2000 Olympics: Bud Greenspan's Gold from Down Under,2001,Sydney 2000: Stories of Olympic Glory 2001,False
Sylvie et le fantôme,Claude Autant-Lara,France,1946,1940s,1:37,"With this film, conceived during the occupation and released after the war, Claude Autant-Lara entered the realm of pure fantasy. Odette Joyeux stars as Sylvie, in love with a figure from the lore of her family's castle. Sylvie's father hires three actors to impersonate the ghost of her beloved, while the spirit himself (Jacques Tati, in his first feature-film role) stalks the grounds. Marrying a playful script, artful special effects, and wistful performances, Sylvie et le fantôme stages a delicate dance of enchantment.",1.62,https://www.criterionchannel.com/sylvie-et-le-fantome,Sylvie et le fantôme 1946,Sylvie et le fantôme 1946,tt0038146,7.1,283,Sylvie et le fantôme,Sylvie et le fantôme,1946,Sylvie et le fantôme 1946,False
Sympathy for Mr. Vengeance,Park Chan-wook,South Korea,2002,2000s,2:01,"The first film in Park Chan-wook’s bracing VENGEANCE TRILOGY is a morally complex human tragedy wrapped in the guise of a stylish, blood-spattered thriller. Unable to afford proper care for his sister dying from kidney failure, deaf-mute factory worker Ryu (Shin Ha-kyun) turns to the black market to sell his own organs, only to end up cheated of his life savings. His girlfriend (Bae Doona) urges Ryu to kidnap the daughter of wealthy industrialist Dong-jin (Song Kang-ho), who recently laid him off. Ryu agrees, but unforeseen twists turn an innocent con into a merciless quest for revenge.",2.02,https://www.criterionchannel.com/sympathy-for-mr-vengeance,Sympathy for Mr. Vengeance 2002,Sympathy for Mr. Vengeance 2002,tt0310775,7.6,63342,Sympathy for Mr. Vengeance,Boksuneun naui geot,2002,Sympathy for Mr. Vengeance 2002,False
Synonyms,Nadav Lapid,France,2019,2010s,2:03,"Winner of the top prize at the Berlin Film Festival, this audacious, deliriously unhinged dark comedy from Israeli director Nadav Lapid evokes the whiplash disorientation of the immigrant experience with both ferocious intensity and unexpected poetry. Newcomer Tom Mercier delivers a whirlwind performance of almost feral unpredictability as Yoav, a disaffected young Israeli who flees Tel Aviv for Paris to start a new life. Desperate to integrate into his new society, Yoav sees becoming French as his only hope for salvation. But his attempts to erase his former identity soon awaken past demons and open up a bewildering existential abyss.",2.05,https://www.criterionchannel.com/synonyms,Synonyms 2019,Synonyms 2019,tt7016254,6.4,4973,Synonyms,Synonymes,2019,Synonyms 2019,False
Taipei Story,Edward Yang,Taiwan,1985,1980s,2:00,"Edward Yang’s second feature is a mournful anatomy of a city caught between the past and the present. Made in collaboration with Yang's fellow New Taiwan Cinema master Hou Hsiao-hsien, TAIPEI STORY chronicles the growing estrangement between a washed-up baseball player (Hou, in a rare on-screen performance) working in his family’s textile business and his girlfriend (Tsai Chin), who clings to the upward mobility of her career in property development. As the couple's dreams of marriage and emigration begin to unravel, Yang’s gaze illuminates the precariousness of domestic life and the desperation of Taiwan’s globalized modernity.",2.0,https://www.criterionchannel.com/taipei-story,Taipei Story 1985,Taipei Story 1985,tt0089866,7.7,2294,Taipei Story,Qing mei zhu ma,1985,Taipei Story 1985,False
Take a Giant Step,Philip Leacock,United States,1959,1950s,1:39,"One of the rare 1950s Hollywood films to feature an all-Black leading cast was also one of the first to address systemic racism. Adapted from the Broadway play by Louis S. Peterson, TAKE A GIANT STEP stars Johnny Nash (later a successful pop singer) as Spence Scott, a seventeen-year-old high-school senior wrestling with ingrained social prejudices as he rebels against the narrow-mindedness of his majority-white school and neighborhood. Featuring a standout supporting turn from Ruby Dee, this landmark coming-of-age drama gives sensitive expression to the struggles of young African American men in midcentury America.",1.65,https://www.criterionchannel.com/take-a-giant-step,Take a Giant Step 1959,Take a Giant Step 1959,tt0053331,6.9,359,Take a Giant Step,Take a Giant Step,1959,Take a Giant Step 1959,False
Take Aim at the Police Van,Seijun Suzuki,Japan,1960,1960s,1:19,"At the beginning of Seijun Suzuki's taut and twisty whodunit, a prison truck is attacked and a convict inside murdered. The penitentiary guard on duty, Daijiro (Michitaro Mizushima), is accused of negligence and suspended, only to take it upon himself to track down the killers.",1.32,https://www.criterionchannel.com/take-aim-at-the-police-van,Take Aim at the Police Van 1960,Take Aim at the Police Van 1960,tt0054325,6.7,857,Take Aim at the Police Van,'Jûsangô taihisen' yori: Sono gosôsha o nerae,1960,Take Aim at the Police Van 1960,False
The Taking of Power by Louis XIV,Roberto Rossellini,Italy,1966,1960s,1:34,"Filmmaking legend Roberto Rossellini brings his passion for realism and unerring eye for the everyday to this portrait of the early years of the reign of France’s “Sun King,” and in the process reinvents the costume drama. The death of chief minister Cardinal Mazarin, the construction of the palace at Versailles, the extravagant meals of the royal court: all are recounted with the same meticulous quotidian detail that Rossellini brought to his contemporary portraits of postwar Italy. THE TAKING OF POWER BY LOUIS XIV dares to place a larger-than-life figure at the level of mere mortal.",1.57,https://www.criterionchannel.com/the-taking-of-power-by-louis-xiv,The Taking of Power by Louis XIV 1966,The Taking of Power by Louis XIV 1966,tt0060860,7.2,1398,The Taking of Power by Louis XIV,La prise de pouvoir par Louis XIV,1966,The Taking of Power by Louis XIV 1966,False
